000763551;2018/1;0.3 
000872652;2018/1;0.55 
000935360;2018/1;0 
100920819;2018/1;0 
200000970;2018/1;0.4 
100902774;2018/1;0.55 
200004356;2018/1;0 
200003891;2018/1;0.45 
000833630;2018/1;0.35 
100937447;2018/1;0.85 
100934164;2018/1;0.85 
000912476;2018/1;0.35 
000925837;2018/1;0.25 
000549452;2018/1;0.25 
000833576;2018/1;0.1 
100910956;2018/1;0.5 
000413607;2018/1;0.3 
200002832;2018/1;0.4 
200000623;2018/1;0.4 
200003817;2018/1;0.25 
200003082;2018/1;0.45 
200002756;2018/1;0.4 
200001129;2018/1;0 
200003016;2018/1;0 
200002068;2018/1;0 
200002156;2018/1;0 
100918345;2018/1;0 
000956538;2018/1;0 
200002525;2018/1;0 
100946462;2018/1;0 
000940402;2018/1;0 
200000878;2018/1;0.3 
100912835;2018/1;0 
100938980;2018/1;0.25 
100925940;2018/1;0.6 
100914082;2018/1;0 
100943141;2018/1;0.5 
100933193;2018/1;0 
000920924;2018/1;0 
000934852;2018/1;0 
100906781;2018/1;0 
100909495;2018/1;0.3 
100918499;2018/1;0.6 
100929617;2018/1;0.65 
100918930;2018/1;0.3 
100916706;2018/1;0 
000892530;2018/1;0.55 
000946486;2018/1;0.45 
000921025;2018/1;0.4 
000949671;2018/1;0.45 
000934666;2018/1;0 
000817589;2018/1;0 
000770760;2018/1;0 
000896799;2018/1;0 
000951099;2018/1;0 
000931764;2018/1;0 
000936707;2018/1;0 
000909530;2018/1;0.2 
000746088;2018/1;0.5 
000868906;2018/1;0 
100943242;2018/1;0 
100946120;2018/1;0 
200004012;2018/1;0.6 
000868876;2018/1;0 
100929767;2018/1;0.4 
000798428;2018/1;0.4 
000715310;2018/1;0 
000813451;2018/1;0.5 
000888974;2018/1;0 
000897132;2018/1;0 
100917806;2018/1;0.2 
000801070;2018/1;0.3 
000770299;2018/1;0 
000610950;2018/1;0.45 
000903752;2018/1;0.35 
000955523;2018/1;0 
000898490;2018/1;0.6 
000715140;2018/1;0.35 
000955990;2018/1;0 
000841595;2018/1;0 
000870870;2018/1;0 
100912921;2018/1;0 
000806005;2018/1;0 
000916994;2018/1;0 
000885746;2018/1;0 
000840939;2018/1;0 
000852384;2018/1;0 
100946443;2018/1;0 
000936588;2018/1;0 
100923261;2018/1;0 
100929608;2018/1;0.3 
200002091;2018/1;0.8 
000933902;2018/1;0.35 
000943304;2018/1;0 
000824941;2018/1;0 
000603783;2018/1;0 
200000765;2018/1;0 
000903230;2018/1;0 
200004267;2018/1;0.55 
200002799;2018/1;0.6 
000891843;2018/1;0.4 
100905866;2018/1;0.35 
100947104;2018/1;0 
100934727;2018/1;0 
000944491;2018/1;0 
